product_id,category,sub_category,product_name,product_description
FUR-BO-10000112,HARDWARE,"smart boards","INTERACTIVE SMART BOARD 3000","Multi-touch smart board for interactive teaching."
FUR-BO-10000330,HARDWARE,tablets,"EDUTAB LITE","Lightweight tablet optimized for digital learning."
FUR-BO-10000362,HARDWARE,laptops,"EDUPRO LAPTOP X","High-performance laptop tailored for student needs."
FUR-BO-10000468,SOFTWARE,lms,"LEARNFLOW LMS","A streamlined LMS for managing courses and assignments."
FUR-BO-10000711,SOFTWARE,"assessment tools","GRADEMASTER TOOL","Efficient tool for tracking and analyzing student performance."
FUR-BO-10000780,HARDWARE,"smart boards","INTERACTIVE SMART BOARD 3000","Multi-touch smart board for interactive teaching."
FUR-BO-10001337,"CLASSROOM TOOLS",timers,"CLASSROOM TIMER PRO","Easy-to-use timer designed for classroom activities."
FUR-BO-10001519,HARDWARE,"smart boards","INTERACTIVE SMART BOARD 3000","Multi-touch smart board for interactive teaching."
FUR-BO-10001567,"LEARNING MATERIALS",e-books,"DIGITAL ALGEBRA TEXTBOOK","Comprehensive digital textbook with interactive exercises."
FUR-BO-10001601,HARDWARE,tablets,"EDUTAB LITE","Lightweight tablet optimized for digital learning."
FUR-BO-10001608,"CLASSROOM TOOLS","attendance trackers","ATTENDANCE GENIE","Real-time tracker for virtual and in-person attendance."
FUR-BO-10001619,"CLASSROOM TOOLS","attendance trackers","ATTENDANCE GENIE","Real-time tracker for virtual and in-person attendance."
FUR-BO-10001798,"LEARNING MATERIALS","interactive modules","PHYSICS SIM LAB","Engaging virtual module for exploring complex topics."
FUR-BO-10001811,SOFTWARE,lms,"LEARNFLOW LMS","A streamlined LMS for managing courses and assignments."
FUR-BO-10001918,"LEARNING MATERIALS",e-books,"DIGITAL ALGEBRA TEXTBOOK","Comprehensive digital textbook with interactive exercises."
FUR-BO-10001972,SOFTWARE,lms,"LEARNFLOW LMS","A streamlined LMS for managing courses and assignments."
FUR-BO-10002202,SOFTWARE,"coding platforms","CODEACADEMY JR.","Interactive platform to teach coding basics to kids."
FUR-BO-10002206,"LEARNING MATERIALS","interactive modules","PHYSICS SIM LAB","Engaging virtual module for exploring complex topics."
FUR-BO-10002268,SOFTWARE,lms,"LEARNFLOW LMS","A streamlined LMS for managing courses and assignments."
FUR-BO-10002545,"LEARNING MATERIALS",e-books,"DIGITAL ALGEBRA TEXTBOOK","Comprehensive digital textbook with interactive exercises."
FUR-BO-10002598,HARDWARE,tablets,"EDUTAB LITE","Lightweight tablet optimized for digital learning."
FUR-BO-10002613,"LEARNING MATERIALS","online courses","PYTHON FOR BEGINNERS COURSE","Self-paced online course with hands-on coding challenges."
FUR-BO-10002824,"CLASSROOM TOOLS","virtual labs","VIRTUAL CHEMISTRY LAB","Immersive virtual lab environment for practical experiments."
FUR-BO-10002853,"LEARNING MATERIALS","interactive modules","PHYSICS SIM LAB","Engaging virtual module for exploring complex topics."
FUR-BO-10002916,HARDWARE,tablets,"EDUTAB LITE","Lightweight tablet optimized for digital learning."
FUR-BO-10003034,"CLASSROOM TOOLS","virtual labs","VIRTUAL CHEMISTRY LAB","Immersive virtual lab environment for practical experiments."
FUR-BO-10003159,"LEARNING MATERIALS","online courses","PYTHON FOR BEGINNERS COURSE","Self-paced online course with hands-on coding challenges."
FUR-BO-10003272,"LEARNING MATERIALS",e-books,"DIGITAL ALGEBRA TEXTBOOK","Comprehensive digital textbook with interactive exercises."
FUR-BO-10003404,"LEARNING MATERIALS","online courses","PYTHON FOR BEGINNERS COURSE","Self-paced online course with hands-on coding challenges."
FUR-BO-10003433,HARDWARE,projectors,"VISION PROJECTOR Z","Advanced projector for vibrant classroom visuals."
FUR-BO-10003441,"CLASSROOM TOOLS","attendance trackers","ATTENDANCE GENIE","Real-time tracker for virtual and in-person attendance."
FUR-BO-10003450,HARDWARE,laptops,"EDUPRO LAPTOP X","High-performance laptop tailored for student needs."
FUR-BO-10003546,"CLASSROOM TOOLS",timers,"CLASSROOM TIMER PRO","Easy-to-use timer designed for classroom activities."
FUR-BO-10003660,HARDWARE,tablets,"EDUTAB LITE","Lightweight tablet optimized for digital learning."
FUR-BO-10003893,"LEARNING MATERIALS","online courses","PYTHON FOR BEGINNERS COURSE","Self-paced online course with hands-on coding challenges."
FUR-BO-10003894,"CLASSROOM TOOLS","attendance trackers","ATTENDANCE GENIE","Real-time tracker for virtual and in-person attendance."
FUR-BO-10003965,"CLASSROOM TOOLS","attendance trackers","ATTENDANCE GENIE","Real-time tracker for virtual and in-person attendance."
FUR-BO-10003966,HARDWARE,laptops,"EDUPRO LAPTOP X","High-performance laptop tailored for student needs."
FUR-BO-10004015,SOFTWARE,lms,"LEARNFLOW LMS","A streamlined LMS for managing courses and assignments."
